页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
19,1656737654,NlnPzCcTf,现代快报,2023-09-28 15:18:18,#快快评#【在校园修墙，课程作业的一次美好尝试】湖南科技大学校园墙壁破损，一周内被五位大学生“修葺一新”。用什么修的呢？用积木，超酷！该校2021级环境设计专业李韧、何鸿武、卢建、朱文韬、张新宇五位同学一起完成这次“维修”，而这属于公共艺术设计的课程作业。作业题目是：在一个公共的空间， ...全文,0,0,0
19,1986888471,Nlnpf1LGq,长沙校园,2023-09-28 14:13:25,#湖南校园里的超酷打卡地# 除了《镜蝶》和《记忆之邀》，积木修墙也已成为@湖南科技大学 的一道靓丽校园风景线话不多说，趁现在赶紧去这么有趣的地方打卡拍照吧！#独属湖南学子的新学期浪漫# 长沙校园的微博视频 ,0,0,5
20,7845823732,NlngjhCob,小太阳__chen,2023-09-28 13:51:24,好烦恼，我好喜欢我们教官（教官是女孩子哦） ，我们排好多人都喜欢她，然后教官对大家都一样!，好悲伤啊，就是那种类似暗恋没有回应的悲伤 ，有人跟我同一种感受吗#教官我喜欢你##湖南科技大学##军训# 湘潭·湖南科技大学 ,0,0,0
20,1986888471,NlndUBkcA,长沙校园,2023-09-28 13:45:31,#湖南校园里的超酷打卡地# 假期不知道去哪打卡？沙沙带你先看看@湖南科技大学 校园里的超酷打卡地！不仅仅是学生的课程作业，更是一个个美好的艺术品：《镜蝶》《记忆之邀》……已经等不及去看啦！#双节假期的湖南学子# 长沙校园的微博视频 ,20,47,460
20,7426058473,NlmPoF4bn,左ass上的纹身,2023-09-28 12:45:07,湖南科技大学 六区和五区有那栋是女生宿舍呀 ,0,1,3
20,2372479913,NlmxO2M1w,中青网校园通讯社,2023-09-28 12:01:46,【厉害！#大学生用积木修复破损墙体#】近日，@湖南科技大学 内一水泥墙面开裂受损，学生用积木填补墙上的缺口，还在墙边写了提醒：“课程作业，请勿损坏。”据了解，这是该校2021级环境设计专业李韧、何鸿武、卢建、朱文韬、张新宇五位同学一起完成的，它是属于公共艺术设计的课程作业。 ...全文,0,2,24
20,2827102952,Nlmac43UR,湖北日报,2023-09-28 11:03:36,【#给学校修墙的课程作业好酷#，这样的作业你想做吗？】湖南科技大学有一面墙出现了破损，近来，这面墙被人用“积木修墙”的方式修复翻新了！原来，这是该校2021级环境设计专业李韧、何鸿武、卢建、朱文韬、张新宇五位同学一起完成的公共艺术设计课程作业。作业的要求是：在一个公共的空间，设计一个可 ...全文,0,0,3
20,7756373798,Nlls5mJ7J,广饶融媒,2023-09-28 09:14:56,【大学生用彩色积木“修补”破损墙壁 学校：赞赏创意 会好好保护】9月27日，湖南科技大学一墙面受损学生用积木进行修补#大学生用积木补墙#，其成为一道靓丽风景。画面显示，校园内一水泥墙面开裂受损同学使用彩色积木进行修补 ，起重机等施工器材在墙面上摆饰细节满满！湖南科技大学新闻中心对青蜂侠表 ...全文,0,0,0
20,6656264403,NlkYKuNIV,彭歪歪哟,2023-09-28 08:02:40,天呐真的很触动 刚刚教官在解释为什么昨天晚上把我们拦在门口在清点昨天晚上以前解散的人 让所有人坐下 慢慢的有几个人站起来 后面人越来越多 起码有个四五百吧 我以为教官会罚他们 没有想到他只是说 坐下吧 然后告诉我们不会罚他们 因为他们有勇气站起来 希望我们在以后的生活里也可以敢作敢当 勇敢承 ...全文,0,0,0
20,6577255740,Nlhzrlr6s,读完硕士再打工1,2023-09-27 23:22:04,湖南科技大学考研已上岸 出311资料 ,0,0,3
20,1887790981,NlgGbqpF4,广州日报,2023-09-27 21:05:55,【超酷！校园墙壁破损，被五位大学生用积木“修葺一新”】湖南科技大学校园里，有一面墙出现了破损情况。而近来，这面墙却被人用“积木修墙”的方式修复翻新了！原来，这是该校2021级五位环境设计专业同学一起完成的公共艺术设计课程作业。作业的要求是：在一个公共的空间，设计一个可以与人产生互动的 ...全文,1,8,36
20,6072825077,Nlgl3wv6O,lucking_fritz,2023-09-27 20:13:52,湖南科技大学 有愿意做演唱会这种抢票的吗？利润可观三张到四张 ,0,1,0
21,6132032040,NleMNmKSu,-悄悄是心上的肖肖daytoy-,2023-09-27 16:16:44,湖南科技大学考研便宜出马理论资料 ,0,0,0
21,1898633161,Nlevs6flY,斐常策划,2023-09-27 15:34:00,#大学生用积木修复墙壁#这个牛，现在缺的就是创意@湖南科技大学 ,0,0,0
21,2125007121,Nle2liFoG,想要改名字又不知道改什么,2023-09-27 14:22:17,湖南科技大学  求小教最新真题及解析 ,0,0,0
21,2125007121,Nle1TsH5B,想要改名字又不知道改什么,2023-09-27 14:21:11,湖南科技大学考研  求小教最新真题及解析 ,0,4,0
21,6353999804,NldQvhqEO,麻辣烫要加香菜吖ii,2023-09-27 13:53:07,湖南科技大学教育学考研蹲一个司南841真题解析 ,0,0,0
21,6353999804,NldQihknl,麻辣烫要加香菜吖ii,2023-09-27 13:52:36,湖南科技大学考研蹲一个司南841真题解析 ,0,0,0
21,6447737045,Nldtp1s2T,多想住在西瓜里,2023-09-27 12:56:12,湖南科技大学考研湖南科技大学考研湖科大学科思政 专二刘强136高分笔记+真题+专二划重点视频+课后习题答案及其他视频及资料 / 专业一教育综合333 真题+详细答案 +专一划重点视频+ 背诵技巧经验 无偿分享备考经验 ,0,1,2
21,7866788866,NlcMHFfFA,用户7866788866,2023-09-27 11:11:01,湖南科技大学教育学考研有没有333模拟卷啊，sn的模拟卷有解析的嘛，求 ,0,1,0
22,7866648936,NlcLB62fY,樱桃ya小丸犊子,2023-09-27 11:08:17,湖南科技大学教育学考研是不是要开始模拟考了，有出sn的333模拟卷嘛 ,0,0,0
22,6686947183,Nl6ocbAbK,湖南的百晓生,2023-09-26 18:54:09,【#学生用积木修复破损的墙壁#】9月26日，湖南湘潭。湖南科技大学破损的墙壁被积木修复，原来是学生的课程作业，谁家的作业是给学校装修啊？(湖南科技大学)#湖南大学2023开学季##开学季# 湖南的百晓生的微博视频 ,6,11,25
22,7479078990,NlchilCBo,暴走椰椰sa,2023-09-27 09:53:38,湖南科技大学考研 我是英语专业 通过了高中英语教资笔试和面试 但是还没有资格认定 考学科英语是可以的莫？？ ,0,1,0
22,7479078990,NlcfkD8vq,暴走椰椰sa,2023-09-27 09:48:48,湖南科技大学考研 有人出司南839的资料和书嘛 ,0,7,0
22,5831119691,NlbJ24caj,柚子言言,2023-09-27 08:29:12,湖南科技大学考研求司南学科语文新资料（换书了） ,0,0,0
22,5831119691,NlbIUtGFo,柚子言言,2023-09-27 08:28:54,湖南科技大学考研求司南统考333资料 ,0,0,0
22,7832227974,Nl7T4dtJx,lucky__dairy,2023-09-26 22:42:57,湖南科技大学被限制跨考了，出司南湖南科技大学843学科数学课程(价格可议)，需要dd ,0,1,0
22,6125001486,Nl771AoFH,自明诚熊,2023-09-26 20:44:36,湖南科技大学庄子《列御寇 》之十七  贼莫大乎德有心而心有睫，及其有睫也而内视，内视而败矣。凶德有五，中德为首，何谓中德？中德也者，有以自好也而吡其所不为者也。  注释：①贼莫大乎德有心而心有睫：盗贼没有比有心之德更可怕的了，有心之德其心有眼睛。②及其有睫也而内视，内视而败矣 ...全文,0,0,0
22,3346834770,Nl6WmlanK,玛不丽苏苏,2023-09-26 20:18:19,#湖南科技大学##哲学# 报了湖科的哲学，请问有没有直系学姐学长呀 ,0,7,1
22,7412003122,Nl6TO0v3W,月光常常常常常至故里,2023-09-26 20:12:01,湖南科技大学考研求求839现外背诵资料，最好是司南的 ,0,1,1
23,2241189581,Nl6qnjrEK,我在湖南上学,2023-09-26 18:59:30,【#学生用积木修复破损的墙壁#】9月26日，湖南湘潭。湖南科技大学破损的墙壁被积木修复，原来是学生的课程作业，谁家的作业是给学校装修啊？(湖南科技大学)#湖南大学2023开学季# 湖南的百晓生的微博视频 ,1,0,0
23,1826549532,Nl6cdEoD4,湖南科技大学考研团,2023-09-26 18:24:39,湖南科技大学各个学校网上预报名已经陆续开始啦，同学们千万不要错过了重要的报名时间噢～欢迎大家加入大组织，及时掌握考研的各类动向 ,0,12,0
23,3833828135,Nl5Z5lhT2,想说啥没有烦恼,2023-09-26 17:52:16,湖南科技大学  今天下午摆字好开心啊啊啊一直坐着玩，然后移动摆字！然后下午摆好了晚上就不训练了哦！虽然今天会推迟下训！！但是真的不要晚训啊啊啊 ,0,2,3
